Sexo,IdadeEvasao,PeriodoEvasao,baixorendimentonasdisciplinas,cenáriopolíticoeconômicoinstável,desinteressecomcursoescolhido,desinteressecomcursosuperioremgeral,desligamentoporcoeficienteabaixode3doissemestreconsecutivos,desligamentoporprazomáximo,desligamentoporreprovaçõesemtodasdisciplinasdoissemestresconsecutivos,dificuldadenaáreaescolhida,distanciamentodafamília,faixasalarialnãopromissora,fimderelacionamento,incompatibilidadedetempoentretrabalhoeestudo,oportunidadedeingressoemoutrafaculdadecommesmocurso,oportunidadedeingressoemoutrafaculdadeemcursodiferente,oportunidadedeingressonaufopemcursodiferente,oportunidadedeingressonoiceaemcursodiferente,oportunidadedetrabalho,perdasdeentesqueridos,problemadeadaptaçãocomocurso,problemascomaprendizadoemrelaçãoaoconteúdo,problemascomprofessoresespecíficos,problemascomumadisciplinaemespecífico,problemasfamiliares,problemasfinanceiros,problemaspsicológicos,positive_sent_pt,negative_sent_pt,positive_sent_en,negative_sent_en,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,Cluster
1,23.0,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-3.0,1.0,-2.0,0.943159518272243,0.6140519437298452,0.26898564053225615,-0.556030062922955,-0.3817711715503485,-0.3933232900664356,0.13578427183366606,-0.02077123750315642,0.06078262346126232,-0.7621766501857254,-0.24260251838256372,-0.09732710902421728,-0.08639313180919066,0.5224668744470006,1
1,22.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,1.0,-3.0,-0.22079609515838744,-0.517351359727081,-0.10986541334828806,0.013305537646280789,-0.3850188355691245,-0.022518952449968956,0.34117763259805917,-0.07162753052233191,-0.7139992267882476,0.35819657073730543,-0.5609296036345937,-0.09731508795386667,-0.19193371407579055,0.08898929744097395,0
1,19.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-0.36160572375326916,-0.2824208984400073,-0.38786715752174733,-0.26288774198288223,-0.1767568513008803,0.07775261036762655,-0.2861410122485682,-0.49420437539268997,-0.2219378561035888,0.1952255491066956,-0.4898985211377615,-0.38598575881455277,0.08478277106328991,-0.20647947748850118,0
1,23.0,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1.0,-0.15126344218333665,0.3488492390204582,-0.7158030227090476,0.6564150485597835,-0.22805064524590285,0.211377289016522,0.18277306425252074,0.06112231019424195,0.4037257694880244,-0.38235172677150936,-0.009469853471680237,-0.5819793428772342,0.19772858830569084,0.10878517641294141,0
1,18.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,2.0,-1.0,-0.412715549436185,-0.07982472671916561,-0.4548875932483809,-0.5837063447728408,0.29895573265574116,0.11555890113461278,0.8195562134859294,-0.20450372979350145,-0.2421683624827662,0.22497969973685086,-0.16619708662796318,0.4498267058349397,-0.3505869609504764,0.3325294505582373,0
1,19.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,1.0,-2.0,-0.953725552010549,0.3145864163233901,0.01599783752313862,-0.28405660911145353,0.10639854065679813,0.2083377100736707,-0.26089736670557645,0.0349448712759931,-0.29320935359930195,-0.1267130471111784,0.0051820960459663485,0.03626533423708323,0.15119804915958077,-0.31884750715979193,0
0,18.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,2.0,-1.0,-0.48531247720073767,-0.5329521186380668,-0.6831586348969265,0.5466449421778169,0.8591758650891113,-0.0500597088265624,0.8034924828679952,0.1587541331528505,0.2726880911330162,0.04581731940656787,0.04160364769611952,0.05542346240458654,0.0740980984201414,0.03988877152396523,0
1,22.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.0,1.0,-2.0,0.37249083100640906,-0.050644310607198435,0.5978827784614479,-0.6370017873015461,-0.5099848929036269,0.10740138769138097,0.22871893921887743,0.34811033755360227,0.08620283046834482,-0.33788042663969503,-0.0002339899417456067,0.021505818739942277,0.8464089290720348,0.11644153656116712,1
1,20.0,5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-3.0,1.0,-2.0,2.005727842345965,0.5381939833594996,-0.365294789589214,-0.08871933760744682,-0.24483119186991686,0.15879682375134796,-0.4959035189292136,0.6236298647292855,0.03319721604940323,0.3253458421561816,-0.18521991833232704,0.40679828288091857,0.563715520553407,0.42019606794776154,1
1,22.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-2.0,-0.9170981711058644,0.3009050291648661,-0.021278438019280848,-0.3009873050177305,-0.03897745694127499,0.09785036762515989,-0.28623552199447955,0.18962462913217573,-0.3239382554749684,-0.0928629124261397,0.05014643732551916,-0.19260484373852704,0.14610999381062365,-0.3366491693576241,0
